Risk,Workload,RecordType,Operation,FriendlyName,CustomDescription,Description
Low,MicrosoftTeams,MicrosoftTeams,MeetingParticipantDetail,Added information about meeting participants 9,,"Teams added information about the participants of a meeting, including the user ID of each participant, the time a participant joined the meeting, and the time a participant left the meeting."
Low,MicrosoftTeams,MicrosoftTeams,MessageSent,Posted a new message,,A new message was posted to a chat or channel.
Low,MicrosoftTeams,MicrosoftTeams,MessagesExported,,,
Low,OneDrive,SharePointSharingOperation,AddedToGroup,Added user or group to SharePoint group,,"User added a member or guest to a SharePoint group. This might have been an intentional action or the result of another activity, such as a sharing event."
Low,OneDrive,SharePointSharingOperation,AddedToSecureLink,User added to secure link,,A user was added to the list of entities who can use a secure sharing link.
Low,OneDrive,SharePointSharingOperation,AddedToSharingLink,,,
Low,OneDrive,SharePointFileOperation,FileAccessed,Accessed file,,"User or system account accesses a file. Once a user accesses a file, the FileAccessed event isn't logged again for the same user for same file for the next five minutes."
Low,OneDrive,SharePointFileOperation,FileModified,Modified file,,User or system account modifies the content or the properties of a document on a site. The system waits five minutes before it logs another FileModified event when the same user modifies the content or properties of the same document.
Low,OneDrive,SharePointFileOperation,FileModifiedExtended,,,"This is related to the ""Modified file"" (FileModified) activity. A FileModifiedExtended event is logged when the same person continually modifies a file for an extended period (up to 3 hours)."
Low,OneDrive,SharePointFileOperation,FilePreviewed,,,"User previews files on a SharePoint or OneDrive for Business site. These events typically occur in high volumes based on a single activity, such as viewing an image gallery."
Low,OneDrive,SharePointFileOperation,FileRecycled,Recycled a file,,User moves a file into the SharePoint Recycle Bin.
Low,OneDrive,SharePointFileOperation,FileSyncDownloadedFull,Downloaded files to computer,,User downloads a file to their computer from OneDrive for Business using OneDrive sync app (OneDrive.exe).
Low,OneDrive,SharePointFileOperation,FileSyncUploadedFull,Uploaded files to document library,,User uploads a new file or changes to a file in SharePoint document library or OneDrive for Business using OneDrive sync app (OneDrive.exe).
Low,OneDrive,SharePointFileOperation,FileUploaded,Uploaded file,,User uploads a document to a folder on a site.
Low,SharePoint,SharePointFileOperation,FileAccessed,Accessed file,,"User or system account accesses a file. Once a user accesses a file, the FileAccessed event isn't logged again for the same user for same file for the next five minutes."
Low,SharePoint,SharePointFileOperation,FilePreviewed,,,"User previews files on a SharePoint or OneDrive for Business site. These events typically occur in high volumes based on a single activity, such as viewing an image gallery."
Low,Sharepoint,SharePointFileOperation,FileSyncDownloadedFull,Downloaded files to computer,,User downloads a file to their computer from a SharePoint document library.
Low,SharePoint,SharePointFileOperation,FolderModified,,,
Low,SharePoint,SharePoint,GroupAdded,,,
Low,SharePoint,SharePointFieldOperation,ListColumnCreated,,,
Low,SharePoint,SharePointFieldOperation,ListColumnUpdated,,,
Low,SharePoint,SharePointListOperation,ListUpdated,,,
Low,SharePoint,SharePointSharingOperation,SharingInheritanceBroken,,,
Low,SharePoint,SharePointSharingOperation,SharingSet,,,
Low,SharePoint,SharePoint,SignInEvent,,,
Low,SharePoint,SharePoint,SiteAccessWithCustomScripts,,,
Low,SharePoint,SharePoint,SiteCollectionCreated,,,
Low,SharePoint,SharePoint,SiteCollectionQuotaModified,,,
Low,SharePoint,SharePoint,SiteLocksChanged,,,
Medium,AzureActiveDirectory,AzureActiveDirectory,Change user password.,Changed user password,,"A user changes their password. Self-service password reset has to be enabled (for all or selected users) in your organization to allow users to reset their password. You can also track self-service password reset activity in Microsoft Entra ID. For more information, see Reporting options for Microsoft Entra password management."
Medium,AzureActiveDirectory,AzureActiveDirectory,Disable account.,,,
Medium,AzureActiveDirectory,AzureActiveDirectory,Disable Strong Authentication.,,,
Medium,AzureActiveDirectory,AzureActiveDirectory,Enable account.,,,
Medium,AzureActiveDirectory,AzureActiveDirectory,Remove member from role.,Removed a user from a directory role,,Removed a user to from an admin role in Microsoft 365.
Medium,AzureActiveDirectory,AzureActiveDirectory,Reset user password.,,,
Low,Exchange,ExchangeAdmin,Disable-InboxRule,,,
Low,Exchange,ExchangeAdmin,Remove-InboxRule,,,
Medium,Exchange,ExchangeAdmin,Set-Mailbox,,,
Medium,SecurityComplianceCenter,SecurityComplianceAlerts,AlertEntityGenerated,,,
Medium,SharePoint,SharePoint,ClientViewSignaled,View signaled by client,,A user's client (such as website or mobile app) has signaled that the indicated page has been viewed by the user. This activity is often logged following a PagePrefetched event for a page.
Medium,SharePoint,SharePoint,PagePrefetched,,,A user's client (such as website or mobile app) has requested the indicated page to help improve performance if the user browses to it. This event is logged to indicate that the page content has been served to the user's client. This event isn't a definitive indication that the user navigated to the page.
Medium,SharePoint,SharePoint,PageViewed,Viewed page,,"User views a page on a site. This doesn't include using a Web browser to view files located in a document library. Once a user views a page, the PageViewed event isn't logged again for the same user for same page for the next five minutes."
Medium,SharePoint,SharePoint,PageViewedExtended,,,"This is related to the ""Viewed page"" (PageViewed) activity. A PageViewedExtended event is logged when the same person continually views a web page for an extended period (up to 3 hours)."
,,,AcceptedSharingLinkOnFolder,Accepted sharing link on folder,,Accepted sharing link for a folder.
,,,AccessedOdataLink,Accessed OData link,,Analyst accessed the OData link for a query.
,,,AccessRequestAccepted,Accepted access request,,"An access request to a site, folder, or document was accepted and the requesting user has been granted access."
,,,AccessRequestCreated,Created access request,,"User requests access to a site, folder, or document they don't have permissions to access."
,,,AccessRequestDenied,Denied access request,,"An access request to a site, folder, or document was denied."
,,,AccessRequestUpdated,Updated access request,,An access request to an item was updated.
,,,Add delegation entry.,Added delegation entry,,An authentication permission was created/granted to an application in Microsoft Entra ID.
,,,Add domain to company.,Added domain to company,,Added a domain to your organization.
,,,Add group.,Added group,,A group was created.
,,,Add member to group.,Added member to group,,A member was added to a group.
,,,Add partner to company.,Added a partner to the directory,,Added a partner (delegated administrator) to your organization.
,,,Add service principal credentials.,Added credentials to a service principal,,Credentials were added to a service principal in Microsoft Entra ID. A service principle represents an application in the directory.
,,,Add user.,Added user,,A user account was created.
,,,AddCommentToIncident.,Added comment to incident,,Added comment to incident.
,,,AddDelegates,Added delegate access,,A user added delegate access for organization insights or Copilot dashboard.
,,,AddDevicesToBackfill Operation,Backfill CMD Agent,,Backfill CMD Agent on Cloud PC.
,,,AddDevicesToReinstall Operation,Reinstall CMD Agent,,Reinstall CMD Agent on demand.
,,,Added role,AddRole,,Added new security role and permissions.
,,,AddFolderPermissions,Added permissions to folder,,A folder permission was added. Folder permissions control which users in your organization can access folders in a mailbox and the messages located in those folders.
,,,AddFormCoauthor,Added form coauthor,,A user uses a collaboration link to help design for/view responses. This event is logged when a user uses a collab URL (not when collab URL is first generated).
,,,AddIndicator,Added indicator,,Created a new Indicator of compromise you can use to track attacks and events.
,,,Add-MailboxPermission,Added delegate mailbox permissions,,"An administrator assigned the FullAccess mailbox permission to a user (known as a delegate) to another person's mailbox. The FullAccess permission allows the delegate to open the other person's mailbox, and read and manage the contents of the mailbox. The audit record for this activity is also generated when a system account in the Microsoft 365 service periodically performs maintenance tasks in behalf of your organization. A common task performed by a system account is updating the permissions for system mailboxes. For more information, see System accounts in Exchange mailbox audit records."
,,,AddReviewer,Added reviewers,,A disposition reviewer added one or more other users to the current disposition review stage.
,,,AddSpecificResponder,Added specific responder,,Form owner adds a new user or group to the specific responders list.
,,,AddTagsToIncident,Added tags to incident,,Added tags to incident.
,,,AddUserRole,Added corporate communicator,,A user is assigned as a corporate communicator.
,,,AdminThreadMuted,Thread Muted,,A thread has been muted by admin or watch alert (system user). A watch alert occurs when a thread is flagged for a certain theme (set by the admin) and is automuted by the system.
,,,AdminThreadUnmuted,Thread Unmuted,,Admin unmuted a thread.
,,,AINotesUpdate,Populate AI-generated notes in chat,,AI-generated notes have been populated for a group chat.
,,,AlertExcelDownloaded,Downloaded security alert Excel,,The detailed Excel file of an alert was downloaded.
,,,AlertNotificationsRecipientAdded,Added alert notification recipient,,A recipient was added to the security alerts notification configuration.
,,,AlertNotificationsRecipientDeleted,Deleted alert notification recipient,,A recipient was removed from the security alerts notification configuration.
,,,AlgoGetReviewSetAttachmentsReport,Viewed analytics review set attachments report,,User viewed analytics attachment report. This audit activity includes case and review set name and ID.
,,,AlgoGetReviewSetDocumentsReport,Viewed analytics review set documents report,,User viewed analytics document report.
,,,AlgoGetReviewSetEmailsReport,Viewed analytics review set email report,,User viewed analytics email report.
,,,AlgoGetReviewSetReport,Viewed analytics review set report,,"User viewed analytics report in a review set. This audit activity includes case and review set name and ID, as well as the report type."
,,,AlgoGetReviewSetReportByFileType,Viewed analytics review set report by file type,,User viewed analytics report graph by file type.
,,,AlgoGetReviewSetReportBySource,Viewed analytics review set report by source,,User viewed analytics document by source. This audit activity includes case and review set name and ID.
,,,AlgoIsSettingChanged,Viewed if analytics settings are changed,,This audit activity includes case and review set name and ID.
,,,AlgoJobSubmitted,Submitted new algo job,,User ran analytics on the documents in a review set.
,,,AllowAnonymousResponse,Enabled anyone can respond setting,,Form owner turns on the setting allowing any one to respond to the form.
,,,AllowedDataLocationAdded,Added allowed data location,,A SharePoint or global administrator added an allowed data location in a multi-geo environment.
,,,AllowedDataLocationDeleted,Removed allowed data location,,A SharePoint or global administrator removed an allowed data location in a multi-geo environment.
,,,AllowGroupCreationSet,Allowed user to create groups,,Site administrator or owner adds a permission level to a site that allows a user assigned that permission to create a group for that site.
,,,AllowShareFormForCopy,Allowed share form for copy,,Form owner creates a template link to share the form with other users. This event is logged when the form owner selects to generate template URL.
,,,AnonymousLinkCreated,Created an anonymous link,,User created an anonymous link to a resource. Anyone with this link can access the resource without having to be authenticated.
,,,AnonymousLinkRemoved,Removed an anonymous link,,User removed an anonymous link to a resource. The link can no longer be used to access the resource.
,,,AnonymousLinkUpdated,Updated an anonymous link,,User updated an anonymous link to a resource. The updated field is included in the EventData property when you export the search results.
,,,AnonymousLinkUsed,Used an anonymous link,,"An anonymous user accessed a resource by using an anonymous link. The user's identity might be unknown, but you can get other details such as the user's IP address."
,,,AppBypassInformationBarrier,Changed AppBypassInformationBarrier setting for the tenant,,A SharePoint or global administrator has changed apps access for SharePoint sites.
,,,AppDeletedFromCatalog,Deleted app,,An app has been deleted from the catalog.
,,,AppInstalled,Installed app,,An app was installed.
,,,ApplicableAdaptiveScopeChange,Changed adaptive scope membership,,"Users, sites, or groups were added to or removed from the adaptive scope. These changes are the results of running the scope's query. Because the changes are system-initiated, the reported user displays as a GUID rather than a user account."
,,,ApplyRecordLabel,Labeled message as a record,,A message was classified as a record. Occurs when a retention label that classifies content as a record is manually or automatically applied to a message.
,,,AppPublishedToCatalog,Published app,,An app was added to the catalog.
,,,ApproveDisposal,Approved disposal,,"For manual approval: A disposition reviewer approved the disposition of the item to move it to the next disposition stage. If the item was in the only or final stage of disposition review, the disposition approval marked the item as eligible for permanent deletion."
,,,AppUninstalled,Uninstalled app,,An app was uninstalled.
,,,AppUpdatedInCatalog,Updated app,,An app was updated in the catalog.
,,,AppUpgraded,Upgraded app,,An app was upgraded to its latest version in the catalog.
,,,AssignUserToIncident,Assigned user to incident,,Assigned user to incident.
,,,AttachmentCreated,Attachment created,,An attachment was created for a task.
,,,AttachmentDeleted,Attachment deleted,,An attachment was deleted.
,,,AttachmentUpdated,Attachment updated,,An attachment was updated.
,,,AuditSearchCancelled,Audit search canceled,,An audit search job is canceled.
,,,AuditSearchCompleted,Audit search completed,,An audit search job is completed.
,,,AuditSearchCreated,Audit search created,,A new audit search request is submitted.
,,,AuditSearchDeleted,Audit search deleted,,An audit search job is deleted.
,,,AuditSearchExportJobCompleted,Audit search export job completed,,The export job to export the search results of an audit search query is completed.
,,,AuditSearchExportJobCreated,Audit search export job created,,An export job is created to export the search results of an audit search query.
,,,AuditSearchExportResultsDownloaded,Audit search export results downloaded,,The search results from an audit search query were downloaded.
,,,BackupItemAdded,Backup Item Created,,One or more backup items are added to a Microsoft 365 Backup policy.
,,,BackupItemRemoved,Backup Item Removed,,One or more backup items is/are removed from a Microsoft 365 Backup policy.
,,,BackupItemRestoreCompleted,Restore item restoration complete,,The restoration of an item backed up by Microsoft 365 Backup is completed.
,,,BackupItemRestoreTriggered,Restore item restoration triggered,,Restore is triggered for an item backed up with Microsoft 365 Backup.
,,,BackupPolicyActivated,Activated a Backup Policy,,A Microsoft 365 Backup policy is activated from an inactive state.
,,,BackupPolicyDeleted,Deleted a Backup Policy,,A Microsoft 365 Backup policy is deleted.
,,,BackupPolicyEdited,Edited a Backup Policy,,A Microsoft 365 Backup policy is updated. Backup policies are updated by any of the following actions. 1. Renaming the policy. 2. Add one or more protection units. 3. Removing one or more protection units.
,,,BackupPolicyPaused,Paused a Backup Policy,,A Microsoft 365 Backup policy is paused from active state.
,,,BotAddedToTeam,Added bot to team,,A user adds a bot to a team.
,,,BotRemovedFromTeam,Removed bot from team,,A user removes a bot from a team.
,,,BreakEnded,Ended break using Time clock,,A user successfully ends a break during an active Time clock session.
,,,BreakStarted,Started break using Time clock,,A user successfully starts a break during an active Time clock session.
,,,BurnJobSubmitted,Submitted new burn job,,User converted all the redacted documents in a review set to PDF files.
,,,CanceledQuery,Canceled query,,Analyst canceled a running query.
,,,CaseAdded,Created eDiscovery case,,Added a new eDiscovery case.
,,,CaseClosed,Closed eDiscovery case,,An eDiscovery case was closed.
,,,CaseListViewed,Viewed eDiscovery case list,,This activity is logged when a user viewed a list of eDiscovery cases. The audit record includes the name and ID of the cases that was viewed in the cases list.
,,,CaseMembersUpdated,Updated case members,,"Case membership was updated. As a member of a case, a user can perform various case-related tasks depending on whether they've been assigned the necessary permissions."
,,,CaseMetadataViewed,Viewed case metadata,,Metadata about an eDiscovery case was viewed.
,,,CaseRemoved,Delete eDiscovery case,,An eDiscovery case was deleted. Any hold associated with the case has to be removed before the case can be deleted.
,,,CaseReopened,Reopened eDiscovery case,,An eDiscovery case was reopened.
,,,CaseSettingsDefaultViewed,Viewed default case settings,,Default case setting viewed.
,,,CaseSettingsUpdated,Updated case settings,,"User modified the settings for a case. Case settings include case information, premium feature access, case permissions, and settings that control search and analytics behavior."
,,,CaseSettingsViewed,Viewed case settings,,"User viewed the settings for a case. Case settings include case information, premium feature access, case permissions, and settings that control search and analytics behavior."
,,,CaseUpdated,Changed eDiscovery case,,Updated an eDiscovery case.
,,,CaseViewed,Viewed eDiscovery case,,"A user viewed an eDiscovery case in the Microsoft Purview portal. The audit record for this event includes the name, case settings, and case ID of the case that was viewed."
,,,Change user license.,Changed user license,,"The license assigned to a user what changed. To see what licenses were changes, see the corresponding Updated user activity."
,,,ChangeCustomDetectionRuleStatus,Changed custom detection rule status,,A custom detection rule was turned off or on.
,,,ChangeDataRetention,Changed data retention,,Edited the data retention settings for Defender for Endpoint.
,,,ChannelAdded,Added channel,,A user adds a channel to a team.
,,,ChannelDeleted,Deleted channel,,A user deletes a channel from a team.
,,,ChannelOwnerResponded,Responded to invitee response to shared channel 3,,A channel owner responded to a response from a user who responded to a shared channel invitation.
,,,ChannelSettingChanged,Changed channel setting,,"The ChannelSettingChanged operation is logged when the following activities are performed by a team member. For each of these activities, a description of the setting that was changed (shown in parentheses) is displayed in the Item column in the audit log search results."
,,,ChatCreated,"Created a chat 1, 6",,A Teams chat was created.
,,,ChatRetrieved,Fetched chat 1,,A Microsoft Teams chat was retrieved.
,,,ChatUpdated,Updated a chat 1,,A Teams chat was updated.
,,,Check PowerShell Execution Policy,Check PowerShell Execution Policy,,Check PowerShell execution policy.
,,,ClassificationAdded,Classification added,,Add classifications to asset entity.
,,,ClassificationDefinitionCreated,Classification definition created,,Create a classification type.
,,,ClassificationDefinitionDeleted,Classification definition deleted,,Delete a classification type.
,,,ClassificationDefinitionUpdated,Classification definition updated,,Update a classification type.
,,,ClassificationDeleted,Classification deleted,,Delete classifications from asset entity.
,,,ClassificationUpdated,Classification updated,,Update classifications on asset entity.
,,,ClockedIn,Clocked in using Time clock,,A user successfully clocks in using Time clock.
,,,ClockedOut,Clocked out using Time clock,,A user successfully clocks out using Time clock.
,,,CloseConversation,Conversation closed,,"The Viva Engage thread has been closed, preventing users from replying to it. This action can be carried out by an admin, corporate communicator, or a user delegate."
,,,CollectInvestigationPackage,Collected investigation package,,Collected information about a device that's used to understand attack tools and techniques.
,,,CollectionCreated,Created a collection,,Form owner created a collection.
,,,CollectionHardDeleted,Deleted collection from the Recycle Bin,,Form owner hard-deleted a collection from the Recycle Bin.
,,,CollectionRenamed,Renamed a collection,,Form owner changed the name of a collection.
,,,CollectionSoftDeleted,Moved collection to the Recycle Bin,,Form owner moved a collection to the Recycle Bin.
,,,CollectionUpdated,Updated a collection,,Form owner updated a collection property.
,,,CompanyLinkCreated,Created a company shareable link,,User created a company-wide link to a resource. company-wide links can only be used by members in your organization. They can't be used by guests.
,,,CompanyLinkRemoved,Removed a company shareable link,,User removed a company-wide link to a resource. The link can no longer be used to access the resource.
,,,CompanyLinkUsed,Used a company shareable link,,User accessed a resource by using a company-wide link.
,,,ComplianceManagerAutomationChange,Testing source automation change,,An admin changed the testing source automation settings.
,,,ComplianceManagerAutomationLevelChange,Tenant automation level change,,An admin changed the automation level for tenant across all actions.
,,,ComplianceManagerRolesChange,Roles change,,An admin changed the roles for users.
,,,ComplianceSettingChanged,Changed retention label for a file,,A retention label was applied to or removed from a document. This event is triggered when a retention label is manually or automatically applied to a message.
,,,CompromisedSignIn,Compromised sign-in detection,,Sign-in risk detections represent the probability that a given authentication request isn't the authorized owner of the account.
,,,CompromisedUser,Compromised user detection,,"User risk detections might flag a legitimate user account as at risk, when a potential threat actor gains access to an account by compromising their credentials or when they detect some type of anomalous user activity."
,,,ConnectorAdded,Added connector,,A user adds a connector to a channel.
,,,ConnectorRemoved,Removed connector,,A user removes a connector from a channel.
,,,ConnectorUpdated,Updated connector,,A user modified a connector in a channel.
,,,ConnectToExcelWorkbook,Connected to Excel workbook,,Connected the form to an Excel workbook.
,,,ConsentModificationRequest,Approved or denied an app,,A user performed a consent modification request.
,,,CopilotInteraction,Interacted with Copilot,,A user (or admin or system on behalf of a user) entered prompts in Copilot.
,,,Copy,Copied messages to another folder,,A message was copied to another folder.
,,,Create LogCollection Request,Create LogCollection Request,,Create log collection request to Cloud PC.
,,,Create new work items (Scheduler),Create new work items (Scheduler),,"Create new work items, For example, Provision, Deprovision, Reprovision, etc."
,,,Create Remote Action Operation in ActionModeratorService,Create Remote Action Operation in ActionModeratorService,,"Create remote action by tenantID, workspaceID, actionType, actionParameters."
,,,Create VmExtention Request,Create VmExtension Request,,Creates VM extension requests to execute VM extension to run custom scripts on the customer device.
,,,CreateComment,Created comment,,Form owner adds comment or score to a quiz.
,,,CreateCopilotPlugin,Created a new Copilot plugin,,A user (or admin or system on behalf of a user) created a new Copilot plugin.
,,,CreateCopilotPromptBook,Created a new Copilot promptbook,,A user (or admin or system on behalf of a user) created a new promptbook in Copilot.
,,,CreateCustomDetection,Created custom detection rule,,A new custom detection rule was created.
,,,CreatedPolicyConfig,Created policy configuration,,A new policy configuration was created.
,,,CreateForm,Created form,,Form owner creates a new form.
,,,CreateResponse,Created response,,Similar to receiving a new response. A user has submitted a response to a form.
,,,CreateRulePackage / EditRulePackage*,Created new sensitive information type,,A new sensitive information type was created. This includes any SITs created by copying an out of the box SIT.
,,,CreateSuppressionRule,Created suppression rule,,Created alert suppression rule.
,,,CreateUpdateRequest,Create an update request,,A user successfully creates an update request.
,,,CustomizeExemptUsers,Changed exempt user agents,,"A SharePoint or global administrator customized the list of exempt user agents in the SharePoint admin center. You can specify which user agents to exempt from receiving an entire web page to index. This means when a user agent you've specified as exempt encounters an InfoPath form, the form is returned as an XML file, instead of an entire web page. This makes indexing InfoPath forms faster."
,,,Dashboard created,Dashboard created,,User has created a new dashboard on Viva Goals
,,,Dashboard deleted,Dashboard deleted,,User has deleted a dashboard on Viva Goals.
,,,Dashboard updated,Dashboard updated,,User has updated a dashboard on Viva Goals
,,,Data exported,Data exported,,A user has exported list of OKRs or list of users in an organization on Viva Goals.
,,,DataAccessRequestOperation,Extraction ran,,A user performed an extraction. Partner datasets and ISV runs are excluded.
,,,DataExport,Exported data,,Verified admin exports Viva Engage network data. Only verified admins can perform this operation.
,,,DataShareCreated,Data Share Created,,When the data export is created by the user.
,,,DataShareDeleted,Data Share Deleted,,When the data export is deleted by the user.
,,,DefenderExpertsAnalystPermissionCreated,Defender Experts analyst permission created,,An administrator granted one or more role permissions to Defender Experts analysts to investigate incidents or remediate threats.
,,,DefenderExpertsAnalystPermissionModified,Defender Experts analyst permission modified,,An administrator modified role permissions for Defender Experts analysts to investigate incidents or remediate threats.
,,,Delete group.,Deleted group,,A group was deleted.
,,,Delete user.,Deleted user,,A user account was deleted.
,,,DeleteAllResponses,Deleted all responses,,Form owner deletes all response data.
,,,DeleteCopilotPlugin,Deleted a Copilot plugin,,A user (or admin or system on behalf of a user) deleted a Copilot plugin.
,,,DeleteCopilotPromptBook,Deleted a Copilot promptbook,,A user (or admin or system on behalf of a user) deleted a Copilot promptbook.
,,,DeleteCustomDetection,Deleted custom detection rule,,A custom detection rule was removed.
,,,Deleted role,DeleteRole,,Removed security roles and permissions.
,,,DeletedAllOrganizationApps,Deleted all organization apps,,Deleted all organization apps from the catalog.
,,,DeletedPolicyConfig,Deleted policy configuration,,A policy configuration was deleted.
,,,DeletedResult,Deleted result,,Analyst deleted a query result.
,,,DeleteForm,Deleted form,,Form owner deletes a form. This includes SoftDelete (delete option used and form moved to recycle bin) and HardDelete (Recycle bin is emptied).
,,,DeleteIndicator,Deleted indicator,,Removed an Indicator of compromise.
,,,DeleteResponse,Deleted Response,,Form owner deletes one response.
,,,DeleteSummaryLink,Deleted summary link,,Form owner deletes summary results link.
,,,DeleteSuppressionRule,Deleted suppression rule,,Deleted alert suppression rule.
,,,DeviceAccessPolicyChanged,Changed device access policy,,"A SharePoint or global administrator changed the unmanaged devices policy for your organization. This policy controls access to SharePoint, OneDrive, and Microsoft 365 from devices that aren't joined to your organization. Configuring this policy requires an Enterprise Mobility + Security subscription. For more information, see Control access from unmanaged devices."
,,,DeviceOffBoarding,Offboarded device,,Removed a device from Defender for Endpoint.
,,,DirectoryServicesAccountConfigurationUpdated,Updated directory services account configuration,,The Directory services accounts set was modified.
,,,DisableCollaboration,Disabled collaboration,,Form owner turns off the setting of collaboration on the form.
,,,DisableCopilotPlugin,Disabled a Copilot plugin,,A user (or admin or system on behalf of a user) disabled a Copilot plugin.
,,,DisableCopilotPromptBook,Disabled a Copilot promptbook,,A user (or admin or system on behalf of a user) disabled a Copilot promptbook.
,,,DisableSpecificResponse,Disabled specific people can respond setting,,Form owner turns off the setting allowing only specific people or specific groups in the current organization to respond to the form.
,,,DisableSuppressionRule,Disabled suppression rule,,Disabled alert suppression rule.
,,,DisallowAnonymousResponse,Disabled anyone can respond setting,,Form owner turns off the setting allowing any one to respond to the form.
,,,DisallowShareFormForCopy,Disallowed share form for copy,,Form owner deletes template link.
